Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
VXI,Manual,34551,Petrol,DL-1C,360000,"Parsvnath City Mall, Faridabad",Delhi,Maruti,2014,2,7038
1.5L I-VTEC V MT,Manual,99067,Petrol,DL-13,332000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2012,2,6491
SPORTZ (O) 1.2 AT VTVT,Automatic,89733,Petrol,HR-26,499000,"Metro Walk, Rohini, New Delhi",Delhi,Hyundai,2017,1,9756
VXI,Manual,47086,Petrol,UP-11,795000,"Sector-18, Noida",Delhi,Maruti,2020,1,15542
1.2L I-VTEC S,Manual,35511,Petrol,DL-4C,348000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Honda,2014,1,6803
SPORTZ 1.2 KAPPA VTVT CNG,Manual,23728,CNG,DL-3C,720000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2022,1,14076
LXI,Manual,119936,Petrol,DL-12,207000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2012,1,4047
G AT,Automatic,75836,Petrol,DL-10,1075000,"Metro Walk, Rohini, New Delhi",Delhi,Toyota,2017,1,20462
MAGNA (O) 1.2,Manual,67463,Petrol,DL-1C,319000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2013,1,6237
SPORTZ 1.2 KAPPA VTVT,Manual,35933,Petrol,DL-8C,398000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2015,1,7781
VDI AMT,Automatic,54125,Diesel,HR-26,733000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Maruti,2019,2,14330
LXI,Manual,35060,Petrol,HR-26,358000,"Parsvnath City Mall, Faridabad",Delhi,Maruti,2018,2,6999
1.5L I-VTEC S MT,Manual,41512,Petrol,DL-9C,300000,"Vasant Kunj, New Delhi",Delhi,Honda,2011,1,5865
VXI,Manual,83421,Petrol,DL-12,273000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2012,1,5337
LXI,Manual,45497,Petrol,DL-12,162000,"GIP Mall, Noida",Delhi,Maruti,2011,1,3167
2WD MT PETROL,Manual,86933,Petrol,UP-14,1198000,"GIP Mall, Noida",Delhi,Hyundai,2018,2,22803
ASTA 1.2,Manual,55856,Petrol,DL-8C,519000,"GIP Mall, Noida",Delhi,Hyundai,2017,2,10147
SIGMA 1.2,Manual,4108,Petrol,UP-37,542000,"GIP Mall, Noida",Delhi,Maruti,2022,2,10596
MAGNA (O) 1.2,Manual,32116,Petrol,DL-3C,237000,"Sewa Nagar
",Delhi,Hyundai,2011,1,4633
MAGNA 1.2,Manual,30133,Petrol,DL-7C,485000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2015,1,9482
SPORTZ 1.2 KAPPA VTVT,Manual,20637,Petrol,DL-12,464000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2017,1,9071
2WD MT PETROL,Manual,38835,Petrol,DL-12,1130000,"Sector-18, Noida",Delhi,Hyundai,2017,1,21509
VXI ABS,Manual,69739,Petrol,DL-3C,419000,"GIP Mall, Noida",Delhi,Maruti,2017,1,8192
TRENDLINE 1.2L PETROL,Manual,62769,Petrol,DL-3C,221000,"Vasant Kunj, New Delhi",Delhi,Volkswagen,2010,2,4321
GTX PLUS DCT 1.4 PETROL,Automatic,26434,Petrol,DL-12,1473000,"Sector-18, Noida",Delhi,KIA,2019,1,28037
VXI,Manual,53570,Petrol,HR-26,390000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Maruti,2020,1,7625
ZXI,Manual,66194,Petrol,DL-5C,183000,"GIP Mall, Noida",Delhi,Maruti,2010,1,3578
VXI,Manual,46243,Petrol,UP-14,661000,"Sewa Nagar
",Delhi,Maruti,2020,1,12923
MAGNA 1.2,Manual,93736,Petrol,HR-16,198000,"Metro Walk, Rohini, New Delhi",Delhi,Hyundai,2012,1,3871
E+,Manual,35376,Petrol,UP-16,426000,"Sewa Nagar
",Delhi,Hyundai,2016,1,8328
1.5L I-VTEC V AT,Automatic,95080,Petrol,HR-26,271000,"Vasant Kunj, New Delhi",Delhi,Honda,2010,1,5298
COMFORTLINE 1.2L PETROL,Manual,54389,Petrol,DL-3C,335000,"Metro Walk, Rohini, New Delhi",Delhi,Volkswagen,2013,2,6549
ZDI PLUS,Manual,86984,Diesel,HR-26,630000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Maruti,2019,2,12317
CROSS 1.2 G,Manual,100955,Petrol,DL-2C,390000,"Sector-18, Noida",Delhi,Toyota,2015,2,7625
SIGMA 1.4 VVT,Manual,69680,Petrol,HR-26,559000,"Parsvnath City Mall, Faridabad",Delhi,Maruti,2017,1,10929
1.2L I-VTEC S,Manual,17733,Petrol,DL-5C,397000,"Sector-18, Noida",Delhi,Honda,2015,2,7761
K4+ P 6 STR,Manual,25655,Petrol,DL-8C,424000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Mahindra,2018,1,8289
MAGNA EXECUTIVE 1.2,Manual,53083,Petrol,HR-30,560000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Hyundai,2018,1,10948
S 1.2,Manual,47893,Petrol,DL-7C,368000,"Sector-18, Noida",Delhi,Hyundai,2014,1,7194
1.2L I-VTEC SX,Manual,116035,CNG,DL-9C,433000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Honda,2017,1,8465
1.5L I-VTEC V AT,Automatic,59165,Petrol,HR-26,389000,"Parsvnath City Mall, Faridabad",Delhi,Honda,2012,3,7605
XZ PETROL,Manual,40031,Petrol,DL-2C,498000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Tata,2018,1,9736
VXI,Manual,80029,Petrol,DL-9C,311000,"Vasant Kunj, New Delhi",Delhi,Maruti,2015,1,6080
VXI,Manual,34187,Petrol,DL-12,248000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2012,1,4848
RXZ AT,Automatic,14282,Petrol,DL-12,678000,"Vasant Kunj, New Delhi",Delhi,Renault,2020,1,13255
SPORTZ MT,Manual,46370,Petrol,DL-3C,445000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2019,2,8700
VXI,Manual,62031,Petrol,HR-26,287000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Maruti,2014,1,5611
DELTA 1.2,Manual,60719,Petrol,DL-12,399000,"Sector-18, Noida",Delhi,Maruti,2017,1,7801
SPORTZ 1.2 KAPPA VTVT,Manual,99828,CNG,HR-29,371000,"Metro Walk, Rohini, New Delhi",Delhi,Hyundai,2016,2,7253
HIGHLINE PLUS 1.2 AT 16 ALLOY,Automatic,43119,Petrol,UP-16,760000,"Sector-18, Noida",Delhi,Volkswagen,2018,2,14858
VXI ELATE LIMITED EDITION,Manual,65519,Petrol,DL-2C,310000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Maruti,2014,1,6061
SPORTZ 1.2 KAPPA VTVT,Manual,9443,Petrol,HR-26,529000,"Parsvnath City Mall, Faridabad",Delhi,Hyundai,2019,1,10342
SPORTZ 1.2 KAPPA VTVT,Manual,87714,Petrol,HR-13,384000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Hyundai,2016,2,7507
LXI (O),Manual,62617,Petrol,DL-3C,349000,"GIP Mall, Noida",Delhi,Maruti,2015,1,6823
XV PREMIUM,Manual,66065,Petrol,DL-8C,690000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Nissan,2021,1,13490
LXI,Manual,26677,Petrol,DL-8C,305000,"Vasant Kunj, New Delhi",Delhi,Maruti,2015,1,5963
ALPHA 1.4 PETROL,Manual,54775,Petrol,DL-10,660000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2018,2,12903
ERA +,Manual,74366,Petrol,HR-26,296000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Hyundai,2017,2,5787
S MT,Manual,59640,Petrol,DL-4C,238000,"Vasant Kunj, New Delhi",Delhi,Honda,2013,2,4653
DELTA PETROL 1.2,Manual,22126,Petrol,DL-2C,600000,"Sector-18, Noida",Delhi,Maruti,2019,1,11730
MAGNA 1.2,Manual,77098,Petrol,UP-16,244200,"Sector-18, Noida",Delhi,Hyundai,2013,1,4774
1.2L I-VTEC V CVT,Automatic,31330,Petrol,DL-9C,659000,"GIP Mall, Noida",Delhi,Honda,2018,2,12884
DELTA DIESEL 1.3,Manual,65016,Diesel,UP-85,660000,"Sewa Nagar
",Delhi,Maruti,2019,2,12903
LXI,Manual,64224,Petrol,DL-9C,255000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2015,1,4985
MAGNA EXECUTIVE 1.2,Manual,64031,CNG,HR-10,582000,"Parsvnath City Mall, Faridabad",Delhi,Hyundai,2018,2,11378
VXI,Manual,31059,Petrol,DL-2C,420800,"GIP Mall, Noida",Delhi,Maruti,2015,1,8227
SPORTZ 1.2,Manual,73301,Petrol,DL-3C,285000,"Metro Walk, Rohini, New Delhi",Delhi,Hyundai,2013,2,5572
LXI 1.0,Manual,9739,Petrol,DL-8C,501000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Maruti,2020,1,9795
DELTA PETROL 1.2,Manual,69415,Petrol,DL-8C,455000,"Sector-18, Noida",Delhi,Maruti,2016,2,8895
1.5L I-VTEC S MT,Manual,43579,Petrol,HR-26,543000,"Vasant Kunj, New Delhi",Delhi,Honda,2015,1,10616
DELTA CVT PETROL 1.2,Automatic,50090,Petrol,DL-8C,505000,"Vasant Kunj, New Delhi",Delhi,Maruti,2016,1,9873
ZDI PLUS AMT,Automatic,89151,Diesel,UP-16,739000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2018,1,14448
SX 1.0 (O) TURBO IMT,Manual,12415,Petrol,DL-7C,1065000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2022,1,20271
ZXI PLUS AMT,Automatic,21547,Petrol,HR-26,778000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Maruti,2021,2,15210
1.5L I-VTE V CVT,Automatic,30796,Petrol,HR-51,862000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2018,1,16407
SX PLUS 1.6 PETROL,Manual,99951,Petrol,DL-1C,683000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Hyundai,2015,2,13353
XZ PETROL,Manual,57955,Petrol,HR-14,687000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Tata,2020,1,13431
1.5L I-VTEC VX CVT,Automatic,67373,Petrol,UP-14,743000,"Sector-18, Noida",Delhi,Honda,2017,2,14526
VX (O) PETROL,Manual,70944,Petrol,HR-29,618000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2015,1,12082
SPORTZ 1.2,Manual,44207,Petrol,HR-26,533000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Hyundai,2017,1,10420
1.2L I-VTEC S,Manual,68647,Petrol,DL-3C,359000,"Vasant Kunj, New Delhi",Delhi,Honda,2015,1,7019
ALPHA 1.2,Manual,9665,Petrol,DL-8C,501000,"GIP Mall, Noida",Delhi,Maruti,2017,1,9795
ZXI,Manual,50471,Petrol,DL-5C,360000,"Sector-18, Noida",Delhi,Maruti,2015,2,7038
XE PETROL,Manual,12975,Petrol,HR-26,764000,"Metro Walk, Rohini, New Delhi",Delhi,Tata,2020,1,14936
1.5L I-VTEC VX,Manual,42180,Petrol,DL-2C,766000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2016,2,14975
LXI,Manual,96236,Petrol,DL-3C,349000,"Vasant Kunj, New Delhi",Delhi,Maruti,2015,2,6823
MAGNA AT 1.2 KAPPA VTVT,Automatic,26369,Petrol,DL-1C,470000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2018,2,9189
VXI,Manual,65798,Petrol,DL-8C,480000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Maruti,2017,1,9384
ZXI+,Manual,73697,Petrol,DL-9C,567000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2016,1,11085
HIGHLINE DIESEL,Manual,41465,Diesel,UP-16,859000,"Sector-18, Noida",Delhi,Volkswagen,2019,1,16350
COMFORTLINE 1.2L PETROL,Manual,118926,Petrol,DL-3C,314000,"Vasant Kunj, New Delhi",Delhi,Volkswagen,2013,1,6139
FLUIDIC 1.6 EX VTVT,Manual,99128,CNG,DL-12,449000,"Sector-18, Noida",Delhi,Hyundai,2013,1,8778
G,Manual,77156,Petrol,DL-10,244000,"Vasant Kunj, New Delhi",Delhi,Toyota,2013,1,4770
VXI,Manual,32587,Petrol,DL-2C,315000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2013,1,6158
VX AT,Automatic,64592,Petrol,DL-3C,412000,"Sector-18, Noida",Delhi,Honda,2015,1,8055
VXI,Manual,18866,Petrol,DL-2C,647000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Maruti,2014,1,12649
LXI,Manual,16914,Petrol,DL-4C,542000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2019,1,10596
SPORTZ 1.2 KAPPA VTVT,Manual,38280,Petrol,UP-14,394000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2015,1,7703
XZ 1.2,Manual,24268,Petrol,HR-26,698000,"Parsvnath City Mall, Faridabad",Delhi,Tata,2020,1,13646
1.5L I-VTEC VX (O) MT,Manual,47575,Petrol,DL-9C,698000,"Sector-18, Noida",Delhi,Honda,2016,1,13646
DELTA PETROL 1.2,Manual,44779,Petrol,DL-10,514000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2016,2,10049
LXI,Manual,56299,Petrol,DL-4C,273000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2018,1,5337
1.2 W6 AT,Automatic,25852,Petrol,DL-3C,937000,"Sector-18, Noida",Delhi,Mahindra,2021,1,17835
1.6 VTVT SX (O) AT,Automatic,37210,Petrol,DL-8C,888000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2017,1,16902
SPORTZ 1.2,Manual,59397,Petrol,DL-8C,516000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2016,1,10088
VXI,Manual,93869,Petrol,HR-26,278000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Maruti,2012,2,5435
XZA PLUS 2.0L,Automatic,32973,Diesel,UP-32,1809000,"Sector-18, Noida",Delhi,Tata,2021,1,34433
1.6 VTVT SX (O) AT,Automatic,95612,Petrol,DL-8C,836000,"Metro Walk, Rohini, New Delhi",Delhi,Hyundai,2018,1,15912
1.5L I-VTEC S MT,Manual,83392,Petrol,DL-4C,281000,"Vasant Kunj, New Delhi",Delhi,Honda,2011,1,5494
DELTA 1.4 AT PETROL,Automatic,78774,Petrol,DL-2C,692000,"Vasant Kunj, New Delhi",Delhi,Maruti,2017,1,13529
ERA 1.2,Manual,37701,Petrol,DL-1C,487000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2017,1,9521
SPORTZ (O) 1.2 KAPPA VTVT,Manual,14779,Petrol,DL-5C,516000,"GIP Mall, Noida",Delhi,Hyundai,2017,1,10088
1.5L I-VTEC V AT,Automatic,110045,Petrol,DL-7C,301000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2011,1,5885
ZXI 1.2,Manual,21200,Petrol,UP-81,572000,"Sewa Nagar
",Delhi,Maruti,2019,1,11183
SPORTZ (O) 1.2 KAPPA VTVT,Manual,37022,Petrol,UP-13,479000,"Sewa Nagar
",Delhi,Hyundai,2017,1,9365
1.2L I-VTEC V AT,Automatic,72407,Petrol,HR-26,471000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Honda,2015,1,9208
MAGNA 1.2 KAPPA VTVT,Manual,48149,Petrol,DL-7C,378000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2016,1,7390
DELTA PETROL 1.2,Manual,28566,Petrol,UP-14,538000,"GIP Mall, Noida",Delhi,Maruti,2017,1,10518
VXI,Manual,37076,CNG,HR-72,688000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2021,1,13451
1.2 i-VTEC VX MT,Manual,16859,Petrol,DL-4C,776000,"GIP Mall, Noida",Delhi,Honda,2019,1,15171
VXI,Manual,15282,Petrol,HR-98,703000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2021,1,13744
SPORT PLUS 2.0 DIESEL,Manual,44824,Diesel,DL-3C,1290000,"Metro Walk, Rohini, New Delhi",Delhi,Jeep,2019,1,24554
1.2L I-VTEC VX,Manual,82058,Petrol,DL-13,323000,"Sector-18, Noida",Delhi,Honda,2013,1,6315
SPORTZ 1.1 CRDI,Manual,108985,Diesel,HR-26,276000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Hyundai,2013,1,5396
DELTA PETROL 1.2,Manual,50252,Petrol,DL-10,589000,"Sector-18, Noida",Delhi,Maruti,2019,1,11515
TITANIUM 1.2 PETROL,Manual,30388,Petrol,DL-12,654000,"Vasant Kunj, New Delhi",Delhi,Ford,2021,1,12786
SPORTZ AMT 1.2 KAPPA VTVT,Automatic,9665,Petrol,DL-12,686000,"Sector-18, Noida",Delhi,Hyundai,2020,2,13411
MAGNA 1.2 KAPPA VTVT,Manual,49707,Petrol,UP-80,503000,"Sewa Nagar
",Delhi,Hyundai,2019,1,9834
V MT PETROL,Manual,87392,CNG,DL-9C,654000,"GIP Mall, Noida",Delhi,Honda,2016,1,12786
MAGNA 1.1,Manual,34902,Petrol,DL-10,293000,"Metro Walk, Rohini, New Delhi",Delhi,Hyundai,2014,1,5728
ZXI+,Manual,29027,Petrol,DL-9C,675000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2016,1,13196
1.5L I-DTEC VX,Manual,67519,Diesel,DL-2C,673000,"Sector-18, Noida",Delhi,Honda,2018,1,13157
1.2L I-VTEC S,Manual,56375,Petrol,HR-36,568000,"Parsvnath City Mall, Faridabad",Delhi,Honda,2019,1,11105
AMBIENTE 1.5L DIESEL,Manual,37750,Diesel,DL-10,604000,"Metro Walk, Rohini, New Delhi",Delhi,Ford,2018,1,11808
1.5L I-VTEC VX CVT,Automatic,33820,Petrol,DL-4C,800000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2016,1,15227
ZETA 1.2 AMT,Automatic,81236,CNG,UP-14,492000,"GIP Mall, Noida",Delhi,Maruti,2018,1,9619
RXT,Manual,6563,Petrol,DL-10,724000,"Sector-18, Noida",Delhi,Renault,2022,1,14154
XL,Manual,37014,Petrol,HR-30,654000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Nissan,2021,1,12786
1.2 i-VTEC VX MT,Manual,12724,Petrol,HR-26,710000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Honda,2018,2,13881
ZXI+,Manual,75603,Petrol,DL-6C,610000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2016,1,11926
HIGHLINE A/T,Automatic,88907,Diesel,DL-10,1775000,"Metro Walk, Rohini, New Delhi",Delhi,Volkswagen,2018,1,33785
SPORTZ 1.2,Manual,54760,Petrol,DL-12,517000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2017,1,10107
DELTA 1.2 K12,Manual,73102,Petrol,DL-12,467000,"Vasant Kunj, New Delhi",Delhi,Maruti,2016,2,9130
COMFORTLINE 1.6,Manual,28724,Petrol,DL-7C,862000,"Sector-18, Noida",Delhi,Volkswagen,2019,1,16407
ALPHA  AT 1.5 SHVS PETROL,Automatic,31429,Petrol,HR-13,1162000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Maruti,2022,1,22118
1.5L I-VTEC ZX CVT,Automatic,83585,Petrol,DL-3C,780000,"Sector-18, Noida",Delhi,Honda,2017,2,15249
LXI (O),Manual,106256,CNG,DL-3C,425000,"Vasant Kunj, New Delhi",Delhi,Maruti,2017,1,8309
RXT,Manual,56503,Petrol,DL-12,532000,"Sector-18, Noida",Delhi,Renault,2019,1,10401
1.2L I-VTEC VX CVT,Automatic,53409,Petrol,DL-1C,692000,"Sector-18, Noida",Delhi,Honda,2019,1,13529
1.6 VTVT SX (O) AT,Automatic,74003,Petrol,DL-8C,897000,"GIP Mall, Noida",Delhi,Hyundai,2017,1,17074
VX AT,Automatic,43148,Petrol,DL-9C,537000,"Sector-18, Noida",Delhi,Honda,2017,1,10498
VXI,Manual,80407,Petrol,DL-5C,185000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2010,1,3617
MAGNA 1.2 KAPPA VTVT,Manual,31604,Petrol,DL-6C,458000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2017,1,8954
XT PETROL,Manual,24685,Petrol,HR-98,536000,"Vasant Kunj, New Delhi",Delhi,Tata,2021,1,10479
MAGNA (O) 1.2,Manual,48729,Petrol,DL-7C,211000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2010,1,4125
VXI 1.0,Manual,23981,Petrol,HR-19,466000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2020,2,9110
VXI,Manual,34387,Petrol,DL-1C,420000,"GIP Mall, Noida",Delhi,Maruti,2015,2,8211
1.2L I-VTEC S,Manual,54021,Petrol,HR-26,618000,"Vasant Kunj, New Delhi",Delhi,Honda,2020,1,12082
VXI,Manual,44546,Petrol,DL-5C,641000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2019,1,12532
VXI,Manual,107214,Petrol,DL-9C,458000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2017,1,8954
GL PLUS,Manual,61308,Petrol,HR-51,211000,"Parsvnath City Mall, Faridabad",Delhi,Hyundai,2013,1,4125
DELTA PETROL 1.2,Manual,30469,Petrol,HR-82,643000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Maruti,2020,1,12571
XZ PLUS PETROL,Manual,53263,Petrol,HR-72,457000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Tata,2019,1,8934
2WD MT PETROL,Manual,42864,Petrol,HR-26,1454000,"GIP Mall, Noida",Delhi,Hyundai,2018,1,27676
DELTA PETROL 1.2,Manual,14566,Petrol,DL-12,539000,"Vasant Kunj, New Delhi",Delhi,Maruti,2017,2,10538
1.2L I-VTEC S OPT,Manual,48144,Petrol,HR-51,459000,"Parsvnath City Mall, Faridabad",Delhi,Honda,2017,1,8974
VXI,Manual,34262,Petrol,DL-8C,717000,"Sector-18, Noida",Delhi,Maruti,2021,1,14017
LXI CNG 1.0 L,Manual,44293,CNG,HR-26,562000,"Sector-18, Noida",Delhi,Maruti,2021,1,10987
1.2L I-VTEC S,Manual,62508,Petrol,DL-4C,398000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2016,1,7781
DELTA PETROL 1.2,Manual,85274,Petrol,DL-6C,487000,"Vasant Kunj, New Delhi",Delhi,Maruti,2017,1,9521
ZETA AT 1.5  SHVS PETROL,Automatic,68100,Petrol,HR-26,775000,"Parsvnath City Mall, Faridabad",Delhi,Maruti,2018,2,15151
STYLE 1.5 TDI AT,Automatic,59030,Diesel,DL-1C,806000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Skoda,2018,2,15341
SPORTZ 1.2,Manual,71941,Petrol,UP-14,492000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2016,2,9619
1.5L I-VTEC V MT,Manual,72146,Petrol,DL-13,363000,"Vasant Kunj, New Delhi",Delhi,Honda,2012,1,7097
MAGNA 1.2 KAPPA VTVT,Manual,34425,Petrol,DL-4C,389000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2015,1,7605
SPORTZ 1.2,Manual,67248,Petrol,DL-1C,522000,"Sector-18, Noida",Delhi,Hyundai,2016,1,10205
G PETROL,Manual,103490,Petrol,DL-3C,325000,"Metro Walk, Rohini, New Delhi",Delhi,Toyota,2011,2,6354
LXI CNG 1.0,Manual,53481,CNG,DL-1C,517000,"Sector-18, Noida",Delhi,Maruti,2019,1,10107
1.6 CRDI SX PLUS AUTO,Automatic,80448,Diesel,HR-26,1091000,"Sector-18, Noida",Delhi,Hyundai,2018,1,20766
G ISG,Manual,26014,Petrol,DL-1C,719000,"GIP Mall, Noida",Delhi,Toyota,2020,1,14057
Magna Executive 1.2,Manual,14326,Petrol,DL-8C,554000,"GIP Mall, Noida",Delhi,Hyundai,2017,1,10831
SPORTZ 1.2,Manual,60806,Petrol,DL-4C,343000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Hyundai,2013,1,6706
RXT 1.0,Manual,44904,Petrol,HR-29,371000,"Spaze Platinum, Sohna Road, Gurugram",Delhi,Renault,2020,2,7253
LXI (O),Manual,33431,Petrol,DL-3C,346000,"Vasant Kunj, New Delhi",Delhi,Maruti,2015,1,6764
LIMITED 2.0 DIESEL,Manual,8541,Diesel,HR-51,1581000,"Metro Walk, Rohini, New Delhi",Delhi,Jeep,2019,1,30093
GL,Manual,51860,Petrol,DL-10,206000,"M3M Urbana, Golf Course Extension, Gurugram",Delhi,Hyundai,2012,1,4027
RXZ CVT 1.3 TURBO,Automatic,11161,Petrol,DL-7C,1268000,"Metro Walk, Rohini, New Delhi",Delhi,Renault,2021,1,24135
HIGHLINE DIESEL,Manual,52858,Diesel,UP-14,857000,"Sector-18, Noida",Delhi,Volkswagen,2019,1,16312
VXI AMT,Automatic,2674,Petrol,DL-12,754000,"GIP Mall, Noida",Delhi,Maruti,2022,1,14741
1.2L I-VTEC EX,Manual,20700,Petrol,DL-4C,363000,"Sector-18, Noida",Delhi,Honda,2014,1,7097
S MT PETROL,Manual,96271,Petrol,DL-3C,385000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2013,1,7527
1.5L I-VTEC VX CVT,Automatic,52041,Petrol,HR-26,886000,"Parsvnath City Mall, Faridabad",Delhi,Honda,2018,1,16864
VXI,Manual,104495,Petrol,HR-26,190000,"Parsvnath City Mall, Faridabad",Delhi,Maruti,2011,2,3715
DELTA 1.5 SHVS MT PETROL,Manual,25643,Petrol,UP-85,779000,"GIP Mall, Noida",Delhi,Maruti,2019,1,15230
ZETA PETROL 1.2,Manual,40089,Petrol,DL-8C,689000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2019,1,13470
DELTA PETROL 1.2,Manual,22610,Petrol,UP-14,634000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Maruti,2020,1,12395
ZXI (O),Manual,54711,Petrol,HR-36,505000,"Metro Walk, Rohini, New Delhi",Delhi,Maruti,2019,1,9873
2.0L I-VTEC 2WD AT,Automatic,74125,Petrol,HR-51,793000,"Metro Walk, Rohini, New Delhi",Delhi,Honda,2013,2,15503
XM PETROL,Manual,101823,Petrol,UP-16,583000,"Sector-18, Noida",Delhi,Tata,2018,1,11398
ZXI AMT,Automatic,61326,Petrol,DL-2C,591000,"Vasant Kunj, New Delhi",Delhi,Maruti,2018,1,11554
BASE 1.6 PETROL,Manual,115873,Petrol,DL-7C,689000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2016,2,13470
1.5L I-VTEC VX,Manual,52781,Petrol,DL-10,690000,"Sector-18, Noida",Delhi,Honda,2016,1,13490
GL PLUS,Manual,33021,Petrol,DL-2C,170000,"Vasant Kunj, New Delhi",Delhi,Hyundai,2011,2,3324
1.6 CRDI SX,Manual,67464,Diesel,UP-16,675000,"Sector-18, Noida",Delhi,Hyundai,2016,1,13196
SPORTZ 1.2 KAPPA VTVT,Manual,81893,Petrol,DL-7C,404000,"KW Delhi 6, Raj Nagar Extension, Ghaziabad",Delhi,Hyundai,2017,1,7898
