Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
W6,Manual,133091,Diesel,KA-51,778000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Mahindra,2014,1,15210
GTX PLUS 1.0 IMT,Manual,16626,Petrol,KA-03,1210000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,KIA,2021,1,23031
XL TURBO CVT,Automatic,22974,Petrol,KA-09,872000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Nissan,2021,1,16598
W11(O),Manual,60924,Diesel,KA-05,1506000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2018,1,28665
DELTA PETROL 1.2,Manual,5521,Petrol,KA-05,722000,"Sonnappanahalli
",Bangalore,Maruti,2020,1,14115
XZA PLUS DIESEL,Automatic,22931,Diesel,KA-51,1204000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2021,1,22917
1.5L I-VTEC VX CVT,Automatic,21527,Petrol,KA-53,1107000,"Sonnappanahalli
",Bangalore,Honda,2019,1,21071
ZETA PETROL 1.2,Manual,22661,Petrol,KA-01,808000,"Sonnappanahalli
",Bangalore,Maruti,2021,1,15380
GTX PLUS DCT 1.4 PETROL,Automatic,19711,Petrol,KA-05,1610000,"Sonnappanahalli
",Bangalore,KIA,2021,2,30645
1.5L I-VTEC S MT,Manual,114622,Petrol,KA-53,438000,"Bellahalli, Bengaluru",Bangalore,Honda,2013,2,8563
TREND + 1.5L PETROL AT,Automatic,24395,Petrol,KA-03,704000,"GT World Mall, Bengaluru",Bangalore,Ford,2017,1,13763
XL (D),Manual,92551,Diesel,KA-04,537000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Nissan,2014,1,10498
XZ PETROL,Manual,40150,Petrol,KA-05,497000,"Bellahalli, Bengaluru",Bangalore,Tata,2016,1,9716
SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,13444,Petrol,KA-03,599000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2017,2,11711
ASTA AT 1.2 KAPPA VTVT,Automatic,105850,CNG,KA-53,406000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2014,2,7937
